open_time_ms,open,high,low,close,volume,close_time_ms,quote_volume,trades,taker_base_vol,taker_quote_vol
1776394400000,87.67000000,87.67000000,87.67000000,87.67000000,0.00000000,1776394400999,0.00000000,0,0.00000000,0.00000000
1776394401000,87.67000000,87.67000000,87.67000000,87.67000000,0.00000000,1776394401999,0.00000000,0,0.00000000,0.00000000
1776394402000,87.68000000,87.68000000,87.68000000,87.68000000,3.91400000,1776394402999,343.17952000,4,3.91400000,343.17952000
1776394403000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394403999,0.00000000,0,0.00000000,0.00000000
1776394404000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394404999,0.00000000,0,0.00000000,0.00000000
1776394405000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394405999,0.00000000,0,0.00000000,0.00000000
1776394406000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394406999,0.00000000,0,0.00000000,0.00000000
1776394407000,87.68000000,87.68000000,87.68000000,87.68000000,0.10000000,1776394407999,8.76800000,1,0.00000000,0.00000000
1776394408000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394408999,0.00000000,0,0.00000000,0.00000000
1776394409000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394409999,0.00000000,0,0.00000000,0.00000000
1776394410000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394410999,0.00000000,0,0.00000000,0.00000000
1776394411000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394411999,0.00000000,0,0.00000000,0.00000000
1776394412000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394412999,0.00000000,0,0.00000000,0.00000000
1776394413000,87.68000000,87.68000000,87.68000000,87.68000000,0.00000000,1776394413999,0.00000000,0,0.00000000,0.00000000
1776394414000,87.69000000,87.69000000,87.69000000,87.69000000,1.01000000,1776394414999,88.56690000,5,1.01000000,88.56690000
1776394415000,87.69000000,87.69000000,87.69000000,87.69000000,0.00000000,1776394415999,0.00000000,0,0.00000000,0.00000000
1776394416000,87.69000000,87.69000000,87.69000000,87.69000000,0.00000000,1776394416999,0.00000000,0,0.00000000,0.00000000
1776394417000,87.69000000,87.69000000,87.69000000,87.69000000,0.00000000,1776394417999,0.00000000,0,0.00000000,0.00000000
1776394418000,87.70000000,87.70000000,87.70000000,87.70000000,0.12200000,1776394418999,10.69940000,2,0.12200000,10.69940000
1776394419000,87.70000000,87.70000000,87.70000000,87.70000000,0.00000000,1776394419999,0.00000000,0,0.00000000,0.00000000
1776394420000,87.71000000,87.71000000,87.71000000,87.71000000,3.91400000,1776394420999,343.29694000,4,3.91400000,343.29694000
1776394421000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394421999,0.00000000,0,0.00000000,0.00000000
1776394422000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394422999,0.00000000,0,0.00000000,0.00000000
1776394423000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394423999,0.00000000,0,0.00000000,0.00000000
1776394424000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394424999,0.00000000,0,0.00000000,0.00000000
1776394425000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394425999,0.00000000,0,0.00000000,0.00000000
1776394426000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394426999,0.00000000,0,0.00000000,0.00000000
1776394427000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394427999,0.00000000,0,0.00000000,0.00000000
1776394428000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394428999,0.00000000,0,0.00000000,0.00000000
1776394429000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394429999,0.00000000,0,0.00000000,0.00000000
1776394430000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394430999,0.00000000,0,0.00000000,0.00000000
1776394431000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394431999,0.00000000,0,0.00000000,0.00000000
1776394432000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394432999,0.00000000,0,0.00000000,0.00000000
1776394433000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394433999,0.00000000,0,0.00000000,0.00000000
1776394434000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394434999,0.00000000,0,0.00000000,0.00000000
1776394435000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394435999,0.00000000,0,0.00000000,0.00000000
1776394436000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394436999,0.00000000,0,0.00000000,0.00000000
1776394437000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394437999,0.00000000,0,0.00000000,0.00000000
1776394438000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394438999,0.00000000,0,0.00000000,0.00000000
1776394439000,87.71000000,87.71000000,87.71000000,87.71000000,0.00000000,1776394439999,0.00000000,0,0.00000000,0.00000000
1776394440000,87.72000000,87.72000000,87.72000000,87.72000000,0.06300000,1776394440999,5.52636000,1,0.06300000,5.52636000
1776394441000,87.72000000,87.72000000,87.72000000,87.72000000,0.00000000,1776394441999,0.00000000,0,0.00000000,0.00000000
1776394442000,87.73000000,87.73000000,87.72000000,87.72000000,0.69800000,1776394442999,61.22923000,2,0.69800000,61.22923000
